cve_id,description,vendor,product,rule_based_label,svm_label,svm_confidence,final_label
CVE-2021-22790,A CWE-125: Out-of-bounds Read vulnerability that could cause a Denial of Service on the Modicon PLC controller / simulator when updating the controller application with a specially crafted project fil,N/A,"Modicon M580 Cpu (Part Numbers Bmep* And Bmeh*, All Versions), Modicon M340 Cpu (Part Numbers Bmxp34*, All Versions), Modicon Mc80 (Part Numbers Bmkc80*, All Versions), Modicon Momentum Ethernet Cpu (Part Numbers 171Cbu*, All Versions), Plc Simulator For Ecostruxureª Control Expert, Including All Unity Pro Versions (Former Name Of Ecostruxureª Control Expert, All Versions), Plc Simulator For Ecostruxureª Process Expert Including All Hdcs Versions (Former Name Of Ecostruxureª Process Expert, All Versions), Modicon Quantum Cpu (Part Numbers 140Cpu*, All Versions), Modicon Premium Cpu (Part Numbers Tsxp5*, All Versions)",SCADA,SCADA,0.0,SCADA
CVE-2021-3485,An Improper Input Validation vulnerability in the Product Update feature of Bitdefender Endpoint Security Tools for Linux allows a man-in-the-middle attacker to abuse the DownloadFile function of the ,Bitdefender,Endpoint Security Tools For Linux,PC,PC,0.0,PC
CVE-2021-28191,"The Firmware update function in ASUS BMC’s firmware Web management page does not verify the string length entered by users, resulting in a Buffer overflow vulnerability. As obtaining the privileged pe",Asus,Bmc Firmware For Asmb9-Ikvm,Home,Home,0.0,Home
CVE-2023-0392,"The LDAP Agent Update service with versions prior to 5.18 used an unquoted path, which could allow arbitrary code execution.",Okta,Ldap Agent,Other,Other,0.0,Other
CVE-2020-10831,"An issue was discovered on Samsung mobile devices with O(8.x), P(9.0), and Q(10.0) software. Attackers can trigger an update to arbitrary touch-screen firmware. The Samsung ID is SVE-2019-16013 (March",N/A,N/A,Mobile,Mobile,0.0,Mobile
CVE-2018-6221,An unvalidated software update vulnerability in Trend Micro Email Encryption Gateway 5.5 could allow a man-in-the-middle attacker to tamper with an update file and inject their own.,Trend Micro,Trend Micro Email Encryption Gateway,Home,Home,0.0,Home
CVE-2021-33090,"Incorrect default permissionsin the software installer for the Intel(R) NUC HDMI Firmware Update Tool for NUC10i3FN, NUC10i5FN, NUC10i7FN before version 1.78.2.0.7 may allow an authenticated user to p",N/A,"Intel(R) Nuc Hdmi Firmware Update Tool For Nuc10I3Fn, Nuc10I5Fn, Nuc10I7Fn",Other,Other,0.0,Other
CVE-2022-34471,"When downloading an update for an addon, the downloaded addon update's version was not verified to match the version selected from the manifest. If the manifest had been tampered with on the server, a",Mozilla,Firefox,PC,PC,0.0,PC
CVE-2023-30702,"Stack overflow vulnerability in SSHDCPAPP TA prior to &quot;SAMSUNG ELECTONICS, CO, LTD. - System Hardware Update - 7/13/2023&quot; in Windows Update for Galaxy book Go, Galaxy book Go 5G, Galaxy book",Samsung Mobile,"Galaxy Book Go, Galaxy Book Go 5G, Galaxy Book2 Go And Galaxy Book2 Pro 360",PC,PC,0.0,PC
CVE-2021-1426,"Multiple vulnerabilities in the install, uninstall, and upgrade processes of Cisco AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to hijack DLL or executabl",Cisco,Cisco Anyconnect Secure Mobility Client,Enterprise,Enterprise,0.0,Enterprise
CVE-2016-4741,The Assets component in Apple iOS before 10 allows man-in-the-middle attackers to block software updates via vectors related to lack of an HTTPS session for retrieving updates.,N/A,N/A,Mobile,Mobile,0.0,Mobile
CVE-2022-24644,"ZZ Inc. KeyMouse Windows 3.08 and prior is affected by a remote code execution vulnerability during an unauthenticated update. To exploit this vulnerability, a user must trigger an update of an affect",N/A,N/A,PC,PC,0.0,PC
CVE-2021-46442,"In the ""webupg"" binary of D-Link DIR-825 G1, attackers can bypass authentication through parameters ""autoupgrade.asp"", and perform functions such as downloading configuration files and updating firmwa",N/A,N/A,Home,Home,0.0,Home
CVE-2021-38634,Microsoft Windows Update Client Elevation of Privilege Vulnerability,Microsoft,Windows 10 Version 1809,PC,PC,0.0,PC
CVE-2019-7229,"The ABB CP635 HMI uses two different transmission methods to upgrade its firmware and its software components: ""Utilization of USB/SD Card to flash the device"" and ""Remote provisioning process via ABB",N/A,N/A,SCADA,SCADA,0.0,SCADA
CVE-2019-1289,"An elevation of privilege vulnerability exists when the Windows Update Delivery Optimization does not properly enforce file share permissions, aka 'Windows Update Delivery Optimization Elevation of Pr",Microsoft,Windows,PC,PC,0.0,PC
CVE-2023-34937,A stack overflow in the UpdateSnat function of H3C Magic B1STV100R012 allows attackers to cause a Denial of Service (DoS) via a crafted POST request.,N/A,N/A,Other,Other,0.0,Other
CVE-2021-26930,"An issue was discovered in the Linux kernel 3.11 through 5.10.16, as used by Xen. To service requests to the PV backend, the driver maps grant references provided by the frontend. In this process, err",N/A,N/A,PC,PC,0.0,PC
CVE-2019-6742,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Samsung Galaxy S9 prior to 1.4.20.2. Authentication is not required to exploit this vulnerability. T,Samsung,Galaxy S9,Home,Home,0.0,Home
CVE-2023-6321,A command injection vulnerability exists in the IOCTL that manages OTA updates. A specially crafted command can lead to command execution as the root user. An attacker can make authenticated requests ,Owlet,Cam V2,Other,Other,0.0,Other
CVE-2023-35749,D-Link DAP-2622 DDP Firmware Upgrade Filename Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affecte,D-Link,Dap-2622,Home,Home,0.0,Home
CVE-2017-6445,"The auto-update feature of Open Embedded Linux Entertainment Center (OpenELEC) 6.0.3, 7.0.1, and 8.0.4 uses neither encrypted connections nor signed updates. A man-in-the-middle attacker could manipul",N/A,N/A,PC,PC,0.0,PC
CVE-2019-17190,A Local Privilege Escalation issue was discovered in Avast Secure Browser 76.0.1659.101. The vulnerability is due to an insecure ACL set by the AvastBrowserUpdate.exe (which is running as NT AUTHORITY,N/A,N/A,PC,PC,0.0,PC
CVE-2017-9316,Firmware upgrade authentication bypass vulnerability was found in Dahua IPC-HDW4300S and some IP products. The vulnerability was caused by internal Debug function. This particular function was used fo,Dahua Technologies,Ipc-Hdw4300S\Nvr11Hs\Ipc-Hfw4X00\Ipc-Hdw4X00\Ipc-Hdbw4X00\Ipc-Hf5X00\Ipc-Hfw5X00\Ipc-Hdw5X00\Ipc-Hdbw5X00\Nvr11Hs,PC,PC,0.0,PC
CVE-2020-3342,"A vulnerability in the software update feature of Cisco Webex Meetings Desktop App for Mac could allow an unauthenticated, remote attacker to execute arbitrary code on an affected system. The vulnerab",Cisco,Cisco Webex Meetings Server,Enterprise,Enterprise,0.0,Enterprise
CVE-2023-48902,"An issue was discovered in tramyardg autoexpress version 1.3.0, allows unauthenticated remote attackers to escalate privileges, update car data, delete vehicles, and upload car images via authenticati",N/A,N/A,SCADA,SCADA,0.0,SCADA
CVE-2022-20730,"A vulnerability in the Security Intelligence feed feature of Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to bypass the Security Intelligence DNS feed.",Cisco,Cisco Firepower Threat Defense Software,Enterprise,Enterprise,0.0,Enterprise
CVE-2019-16243,"On TCL Alcatel Cingular Flip 2 B9HUAH1 devices, there is an undocumented web API that allows unprivileged JavaScript, including JavaScript running within the KaiOS browser, to view and edit the device",N/A,N/A,PC,PC,0.0,PC
CVE-2020-17076,Windows Update Orchestrator Service Elevation of Privilege Vulnerability,Microsoft,Windows 10 Version 1909,PC,PC,0.0,PC
CVE-2021-3059,An OS command injection vulnerability in the Palo Alto Networks PAN-OS management interface exists when performing dynamic updates. This vulnerability enables a man-in-the-middle attacker to execute a,Palo Alto Networks,Pan-Os,Enterprise,Enterprise,0.0,Enterprise
CVE-2019-1861,"A vulnerability in the software update feature of Cisco Industrial Network Director could allow an authenticated, remote attacker to execute arbitrary code. The vulnerability is due to improper valida",Cisco,Cisco Industrial Network Director,Enterprise,Enterprise,0.0,Enterprise
CVE-2023-35747,D-Link DAP-2622 DDP Firmware Upgrade Auth Password Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on af,D-Link,Dap-2622,Home,Home,0.0,Home
CVE-2022-21973,Windows Media Center Update Denial of Service Vulnerability,Microsoft,Windows 7,PC,PC,0.0,PC
CVE-2016-9369,"An issue was discovered in Moxa NPort 5110 versions prior to 2.6, NPort 5130/5150 Series versions prior to 3.6, NPort 5200 Series versions prior to 2.8, NPort 5400 Series versions prior to 3.11, NPort",N/A,Moxa Nport,Other,Other,0.0,Other
CVE-2018-7240,A vulnerability exists in Schneider Electric's Modicon Quantum in all versions of the communication modules which could allow arbitrary code execution. An FTP command used to upgrade the firmware of t,Schneider Electric Se,Modicon Quantum,SCADA,SCADA,0.0,SCADA
CVE-2022-41978,Auth. (subscriber+) Arbitrary Options Update vulnerability in Zoho CRM Lead Magnet plugin <= 1.7.5.8 on WordPress.,Zoho Crm,Zoho Crm Lead Magnet (Wordpress Plugin),Home,Home,0.0,Home
CVE-2018-6442,"A vulnerability in the Brocade Webtools firmware update section of Brocade Fabric OS before 8.2.1, 8.1.2f, 8.0.2f, 7.4.2d could allow remote authenticated attackers to execute arbitrary commands.","Brocade Communications Systems, Inc.",Brocade Fabric Os,Enterprise,Enterprise,0.0,Enterprise
CVE-2019-20902,Upgrading Crowd via XML Data Transfer can reactivate a disabled user from OpenLDAP. The affected versions are from before version 3.4.6 and from 3.5.0 before 3.5.1.,Atlassian,Crowd,Other,Other,0.0,Other
CVE-2017-1405,"IBM Security Identity Manager Virtual Appliance 7.0 processes patches, image backups and other updates without sufficiently verifying the origin and integrity of the code. IBM X-Force ID: 127392.",Ibm,Security Identity Manager,Enterprise,Enterprise,0.0,Enterprise
CVE-2017-2883,An exploitable vulnerability exists in the database update functionality of Circle with Disney running firmware 2.0.1. Specially crafted network packets can cause the device to execute arbitrary code.,Circle Media,Circle,Other,Other,0.0,Other
CVE-2018-18600,The remote upgrade feature in Guardzilla GZ180 devices allow command injection via a crafted new firmware version parameter.,N/A,N/A,Other,Other,0.0,Other
CVE-2022-34382,"Dell Command Update, Dell Update and Alienware Update versions prior to 4.6.0 contains a Local Privilege Escalation Vulnerability in the custom catalog configuration. A local malicious user may potent",Dell,Dell Command Update (Dcu),Enterprise,Enterprise,0.0,Enterprise
CVE-2020-27692,"The Relish (Verve Connect) VH510 device with firmware before 1.0.1.6L0516 contains multiple CSRF vulnerabilities within its web management portal. Attackers can, for example, use this to update the TR",N/A,N/A,Enterprise,Enterprise,0.0,Enterprise
CVE-2021-44038,An issue was discovered in Quagga through 1.2.4. Unsafe chown/chmod operations in the suggested spec file allow users (with control of the non-root-owned directory /etc/quagga) to escalate their privi,N/A,N/A,Other,Other,0.0,Other
CVE-2023-32658,"Unquoted search path in some Intel(R) NUC Kits NUC7i3DN, NUC7i5DN, NUC7i7DN HDMI firmware update tool software before version 1.79.1.1 may allow an authenticated user to potentially enable escalation ",N/A,"Intel(R) Nuc Kits Nuc7I3Dn, Nuc7I5Dn, Nuc7I7Dn Hdmi Firmware Update Tool Software",Other,Other,0.0,Other
CVE-2023-35317,Windows Server Update Service (WSUS) Elevation of Privilege Vulnerability,Microsoft,Windows Server 2019,PC,PC,0.0,PC
CVE-2023-4627,"The LadiApp plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the save_config() function in versions up to, and including, 4.4. This makes it",Binhnguyenplus,"Ladiapp: Landing Page, Popupx, Marketing Automation, Affiliate Marketing…",SCADA,SCADA,0.0,SCADA
CVE-2023-46004,Sourcecodester Best Courier Management System 1.0 is vulnerable to Arbitrary file upload in the update_user function.,N/A,N/A,Other,Other,0.0,Other
CVE-2021-22799,A CWE-331: Insufficient Entropy vulnerability exists that could cause unintended connection from an internal network to an external network when an attacker manages to decrypt the SESU proxy password ,N/A,N/A,Other,Other,0.0,Other
CVE-2017-7768,The Mozilla Maintenance Service can be invoked by an unprivileged user to read 32 bytes of any arbitrary file on the local system by convincing the service that it is reading a status file provided by,Mozilla,Firefox Esr,PC,PC,0.0,PC
CVE-2021-3823,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability in the UpdateServer component of Bitdefender GravityZone allows an attacker to execute arbitrary code on vu,Bitdefender,Gravityzone Update Server,Enterprise,Enterprise,0.0,Enterprise
CVE-2020-7520,"A CWE-601: URL Redirection to Untrusted Site ('Open Redirect') vulnerability exists in Schneider Electric Software Update (SESU), V2.4.0 and prior, which could cause execution of malicious code on the",N/A,Schneider Electric Software Update (Sesu) V2.4.0 And Prior.,PC,PC,0.0,PC
CVE-2020-15667,"When processing a MAR update file, after the signature has been validated, an invalid name length could result in a heap overflow, leading to memory corruption and potentially arbitrary code execution",Mozilla,Firefox,Other,Other,0.0,Other
CVE-2021-40055,There is a man-in-the-middle attack vulnerability during system update download in recovery mode. Successful exploitation of this vulnerability may affect integrity.,Huawei,Emui,Mobile,Mobile,0.0,Mobile
CVE-2019-18642,Rock RMS version before 8.6 is vulnerable to account takeover by tampering with the user ID parameter in the profile update feature. The lack of validation and use of sequential user IDs allows any us,N/A,N/A,PC,PC,0.0,PC
CVE-2023-52094,"An updater link following vulnerability in the Trend Micro Apex One agent could allow a local attacker to abuse the updater to delete an arbitrary folder, leading for a local privilege escalation on a","Trend Micro, Inc.",Trend Micro Apex One,Other,Other,0.0,Other
CVE-2020-15932,"Overwolf before 0.149.2.30 mishandles Symbolic Links during updates, causing elevation of privileges.",N/A,N/A,Other,Other,0.0,Other
CVE-2020-8781,Lack of input sanitization in UpdateRebootMgr service of ALEOS 4.11 and later allow an escalation to root from a low-privilege process.,N/A,N/A,Other,Other,0.0,Other
CVE-2021-1428,"Multiple vulnerabilities in the install, uninstall, and upgrade processes of Cisco AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to hijack DLL or executabl",Cisco,Cisco Anyconnect Secure Mobility Client,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-24140,"IOBit Advanced System Care 15, iTop Screen Recorder 2.1, iTop VPN 3.2, Driver Booster 9, and iTop Screenshot sends HTTP requests in their update procedure in order to download a config file. After dow",N/A,N/A,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-26510,A firmware update vulnerability exists in the iburn firmware checks functionality of InHand Networks InRouter302 V3.5.37. A specially-crafted HTTP request can lead to firmware update. An attacker can ,Inhand Networks,Inrouter302,Home,Home,0.0,Home
CVE-2021-1437,"A vulnerability in the FlexConnect Upgrade feature of Cisco Aironet Series Access Points Software could allow an unauthenticated, remote attacker to obtain confidential information from an affected de",Cisco,Cisco Aironet Access Point Software,Enterprise,Enterprise,0.0,Enterprise
CVE-2021-41067,An issue was discovered in Listary through 6. Improper implementation of the update process leads to the download of software updates with a /check-update HTTP-based connection. This can be exploited ,N/A,N/A,Other,Other,0.0,Other
CVE-2019-12808,ALTOOLS update service 18.1 and earlier versions contains a local privilege escalation vulnerability due to insecure permission. An attacker can overwrite an executable that is launched as a service t,Estsoft,Altools Update Service,Other,Other,0.0,Other
CVE-2022-41115,Microsoft Edge (Chromium-based) Update Elevation of Privilege Vulnerability,Microsoft,Microsoft Edge (Chromium-Based) Updater,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-30245,Honeywell Alerton Compass Software 1.6.5 allows unauthenticated configuration changes from remote users. This enables configuration data to be stored on the controller and then implemented. A user wit,N/A,N/A,Other,Other,0.0,Other
CVE-2021-3003,"Agenzia delle Entrate Desktop Telematico 1.0.0 contacts the jws.agenziaentrate.it server over cleartext HTTP, which allows man-in-the-middle attackers to spoof product updates.",N/A,N/A,PC,PC,0.0,PC
CVE-2023-34046,"VMware Fusion(13.x prior to 13.5) contains a TOCTOU (Time-of-check Time-of-use) 
vulnerability that occurs during installation for the first time (the 
user needs to drag or copy the application to a ",Vmware,Fusion,Enterprise,Enterprise,0.0,Enterprise
CVE-2021-38142,Barco MirrorOp Windows Sender before 2.5.3.65 uses cleartext HTTP and thus allows rogue software upgrades. An attacker on the local network can achieve remote code execution on any computer that tries,N/A,N/A,PC,PC,0.0,PC
CVE-2021-21967,"An out-of-bounds write vulnerability exists in the OTA update task functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted MQTT payload can lead to denial of service. An a","Sealevel Systems, Inc.",Seaconnect 370W,Other,Other,0.0,Other
CVE-2021-47184,"In the Linux kernel, the following vulnerability has been resolved:

i40e: Fix NULL ptr dereference on VSI filter sync

Remove the reason of null pointer dereference in sync VSI filters.
Added new I40",Linux,Linux,PC,PC,0.0,PC
CVE-2020-36169,An issue was discovered in Veritas NetBackup through 8.3.0.1 and OpsCenter through 8.3.0.1. Processes using OpenSSL attempt to load and execute libraries from paths that do not exist by default on the,N/A,N/A,PC,PC,0.0,PC
CVE-2020-7479,"A CWE-306: Missing Authentication for Critical Function vulnerability exists in IGSS (Versions 14 and prior using the service: IGSSupdate), which could allow a local user to execute processes that oth",N/A,Igss (Interactive Graphical Scada System) (Igss Version Prior To 14.0.0.20009),SCADA,SCADA,0.0,SCADA
CVE-2018-18565,"An issue was discovered in Roche Accu-Chek Inform II Instrument before 03.06.00 (Serial number below 14000) and 04.x before 04.03.00 (Serial Number above 14000), CoaguChek Pro II before 04.03.00, Coag",N/A,N/A,Other,Other,0.0,Other
CVE-2021-20156,Trendnet AC2600 TEW-827DRU version 2.08B01 contains an improper access control configuration that could allow for a malicious firmware update. It is possible to manually install firmware that may be m,N/A,Trendnet Ac2600 Tew-827Dru,Other,Other,0.0,Other
CVE-2019-5159,An exploitable improper input validation vulnerability exists in the firmware update functionality of WAGO e!COCKPIT automation software v1.6.0.7. A specially crafted firmware update file can allow an,Wago,Wago E!Cockpit,SCADA,SCADA,0.0,SCADA
CVE-2021-26889,Windows Update Stack Elevation of Privilege Vulnerability,Microsoft,Windows 10 Version 1803,PC,PC,0.0,PC
CVE-2021-1429,"Multiple vulnerabilities in the install, uninstall, and upgrade processes of Cisco AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to hijack DLL or executabl",Cisco,Cisco Anyconnect Secure Mobility Client,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-3093,This vulnerability allows physical attackers to execute arbitrary code on affected Tesla vehicles. Authentication is not required to exploit this vulnerability. The specific flaw exists within the ice,Tesla,Model 3,Other,Other,0.0,Other
CVE-2021-27251,This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of NETGEAR Nighthawk R7800. Authentication is not required to exploit this vulnerability The sp,Netgear,R7800,Home,Home,0.0,Home
CVE-2019-15020,"A security vulnerability exists in the Zingbox Inspector versions 1.293 and earlier, that could allow an attacker to supply an invalid software update image to the Zingbox Inspector that could result ",N/A,Palo Alto Networks Zingbox Inspector,Other,Other,0.0,Other
CVE-2022-25293,A systemd stack-based buffer overflow in WatchGuard Firebox and XTM appliances allows an authenticated remote attacker to potentially execute arbitrary code by initiating a firmware update with a mali,N/A,N/A,Other,Other,0.0,Other
CVE-2020-7811,Samsung Update 3.0.2.0 ~ 3.0.32.0 has a vulnerability that allows privilege escalation as commands crafted by attacker are executed while the engine deserializes the data received during inter-process,Samsung Electronics, Samsung Update,Mobile,Mobile,0.0,Mobile
CVE-2020-35782,"Certain NETGEAR devices are affected by lack of access control at the function level. This affects JGS516PE before 2.6.0.48, JGS524Ev2 before 2.6.0.48, JGS524PE before 2.6.0.48, and GS116Ev2 before 2.",N/A,N/A,Home,Home,0.0,Home
CVE-2022-48070,Phicomm K2 v22.6.534.263 was discovered to contain a command injection vulnerability via the autoUpTime parameter in the automatic upgrade function.,N/A,N/A,Other,Other,0.0,Other
CVE-2023-23772,"Motorola MBTS Site Controller fails to check firmware update authenticity. The Motorola MBTS Site Controller lacks cryptographic signature validation for firmware update packages, allowing an authenti",Motorola,Mbts Site Controller,Enterprise,Enterprise,0.0,Enterprise
CVE-2017-3218,"Samsung Magician 5.0 fails to validate TLS certificates for HTTPS software update traffic. Prior to version 5.0, Samsung Magician uses HTTP for software updates.",Samsung,Magician,Home,Home,0.0,Home
CVE-2022-0910,"A downgrade from two-factor authentication to one-factor authentication vulnerability in the CGI program of Zyxel USG/ZyWALL series firmware versions 4.32 through 4.71, USG FLEX series firmware versio",Zyxel,Usg/Zywall Series Firmware,Enterprise,Enterprise,0.0,Enterprise
CVE-2023-32041,Windows Update Orchestrator Service Information Disclosure Vulnerability,Microsoft,Windows 10 Version 1809,PC,PC,0.0,PC
CVE-2017-2882,An exploitable vulnerability exists in the servers update functionality of Circle with Disney running firmware 2.0.1. Specially crafted network packets can cause the device to overwrite sensitive file,Circle Media,Circle,Other,Other,0.0,Other
CVE-2018-8855,"Echelon SmartServer 1 all versions, SmartServer 2 all versions prior to release 4.11.007, i.LON 100 all versions, and i.LON 600 all versions. The devices allow unencrypted Web connections by default, ",Echelon,Smartserver 1,Enterprise,Enterprise,0.0,Enterprise
CVE-2020-24525,Insecure inherited permissions in firmware update tool for some Intel(R) NUCs may allow an authenticated user to potentially enable escalation of privilege via local access.,N/A,Intel(R) Nucs,Other,Other,0.0,Other
CVE-2019-3891,It was discovered that a world-readable log file belonging to Candlepin component of Red Hat Satellite 6.4 leaked the credentials of the Candlepin database. A malicious user with local access to a Sat,Red Hat,Candlepin,Enterprise,Enterprise,0.0,Enterprise
CVE-2021-45389,"A flaw was found with the JWT token. A self-signed JWT token could be injected into the update manager and bypass the authentication process, thus could escalate privileges. This affects StarWind SAN ",N/A,N/A,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-28751,The Zoom Client for Meetings for MacOS (Standard and for IT Admin) before version 5.11.3 contains a vulnerability in the package signature validation during the update process. A local low-privileged ,Zoom Video Communications Inc,Zoom Client For Meetings For Macos,PC,PC,0.0,PC
CVE-2016-5645,"Rockwell Automation MicroLogix 1400 PLC 1766-L32BWA, 1766-L32AWA, 1766-L32BXB, 1766-L32BWAA, 1766-L32AWAA, and 1766-L32BXBA devices have a hardcoded SNMP community, which makes it easier for remote at",N/A,N/A,SCADA,SCADA,0.0,SCADA
CVE-2017-2898,An exploitable vulnerability exists in the signature verification of the firmware update functionality of Circle with Disney. Specially crafted network packets can cause an unsigned firmware to be ins,Circle Media,Circle,Other,Other,0.0,Other
CVE-2023-27964,An authentication issue was addressed with improved state management. This issue is fixed in AirPods Firmware Update 5E133. When your headphones are seeking a connection request to one of your previou,Apple,Airpods Firmware Update E,Mobile,Mobile,0.0,Mobile
CVE-2023-5347,An Improper Verification of Cryptographic Signature vulnerability in the update process of Korenix JetNet Series allows replacing the whole operating system including Trusted Executables. This issue a,Korenix,Jetnet Series,PC,PC,0.0,PC
CVE-2021-37160,A firmware validation issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. There is no firmware valida,N/A,N/A,SCADA,SCADA,0.0,SCADA
CVE-2022-3864,"
A vulnerability exists in the Relion update package signature validation. A tampered update package could cause the IED to restart. After restart the device is back to normal operation.
An attacker c",Hitachi Energy,Relion 670/650/Sam600-Io Series,SCADA,SCADA,0.0,SCADA
CVE-2019-11215,"In Combodo iTop 2.2.0 through 2.6.0, if the configuration file is writable, then execution of arbitrary code can be accomplished by calling ajax.dataloader with a maliciously crafted payload. Many con",N/A,N/A,Other,Other,0.0,Other
CVE-2020-8144,"The UniFi Video Server v3.9.3 and prior (for Windows 7/8/10 x64) web interface Firmware Update functionality, under certain circumstances, does not validate firmware download destinations to ensure th",N/A,Unifi Video Controller (For Windows 7/8/10 X64),Enterprise,Enterprise,0.0,Enterprise
CVE-2023-35748,D-Link DAP-2622 DDP Firmware Upgrade Server IPv6 Address Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code,D-Link,Dap-2622,Home,Home,0.0,Home
CVE-2016-2809,The Mozilla Maintenance Service updater in Mozilla Firefox before 46.0 on Windows allows user-assisted remote attackers to delete arbitrary files by leveraging certain local file execution.,N/A,N/A,PC,PC,0.0,PC
CVE-2020-27689,The Relish (Verve Connect) VH510 device with firmware before 1.0.1.6L0516 contains undocumented default admin credentials for the web management interface. A remote attacker could exploit this vulnera,N/A,N/A,Other,Other,0.0,Other
CVE-2017-7760,The Mozilla Windows updater modifies some files to be updated by reading the original file and applying changes to it. The location of the original file can be altered by a malicious user by passing a,Mozilla,Firefox Esr,PC,PC,0.0,PC
CVE-2018-3834,"An exploitable permanent denial of service vulnerability exists in Insteon Hub running firmware version 1013. The firmware upgrade functionality, triggered via PubNub, retrieves signed firmware binari",Insteon,Insteon,Other,Other,0.0,Other
CVE-2022-4261,Rapid7 Nexpose and InsightVM versions prior to 6.6.172 failed to reliably validate the authenticity of update contents. This failure could allow an attacker to provide a malicious update and alter the,Rapid7,Nexpose,Other,Other,0.0,Other
CVE-2023-4025,"The Radio Player plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the update_player function in versions up to, and including, 2.0.73. This ",Princeahmed,"Radio Player – Live Shoutcast, Icecast And Any Audio Stream Player For Wordpress",Other,Other,0.0,Other
