Type,ID,Description,Count,Percentage
CWE_ID,CWE-275,CWE-275,2,0.3738317757009346
CWE_ID,CWE-23,CWE-23,2,0.3738317757009346
CWE_ID,CWE-285,CWE-285,2,0.3738317757009346
CWE_ID,CWE-122,CWE-122,2,0.3738317757009346
CWE_ID,CWE-79,Improper Neutralization of Input During Web Page Generation,2,0.3738317757009346
CWE_ID,CWE-749,CWE-749,2,0.3738317757009346
CWE_ID,CWE-522,CWE-522,2,0.3738317757009346
CWE_ID,CWE-73,CWE-73,2,0.3738317757009346
CWE_ID,CWE-918,Server-Side Request Forgery,2,0.3738317757009346
CWE_ID,CWE-599,CWE-599,2,0.3738317757009346
CWE_ID,CWE-300,CWE-300,2,0.3738317757009346
CWE_ID,CWE-1244,CWE-1244,1,0.1869158878504673
CWE_ID,CWE-93,CWE-93,1,0.1869158878504673
CWE_ID,CWE-61,CWE-61,1,0.1869158878504673
CWE_ID,CWE-241,CWE-241,1,0.1869158878504673
CWE_ID,CWE-1392,CWE-1392,1,0.1869158878504673
CWE_ID,CWE-601,URL Redirection to Untrusted Site,1,0.1869158878504673
CWE_ID,CWE-1284,CWE-1284,1,0.1869158878504673
CWE_ID,CWE-908,CWE-908,1,0.1869158878504673
CWE_ID,CWE-476,NULL Pointer Dereference,1,0.1869158878504673
CWE_ID,CWE-270,CWE-270,1,0.1869158878504673
CWE_ID,CWE-470,CWE-470,1,0.1869158878504673
CWE_ID,CWE-290,CWE-290,1,0.1869158878504673
CWE_ID,CWE-407,CWE-407,1,0.1869158878504673
CWE_ID,CWE-266,CWE-266,1,0.1869158878504673
CWE_ID,CWE-249,CWE-249,1,0.1869158878504673
CWE_ID,CWE-915,CWE-915,1,0.1869158878504673
CWE_ID,CWE-922,CWE-922,1,0.1869158878504673
CWE_ID,CWE-74,CWE-74,1,0.1869158878504673
CWE_ID,CWE-256,CWE-256,1,0.1869158878504673
CWE_ID,CWE-280,CWE-280,1,0.1869158878504673
CWE_ID,CWE-281,CWE-281,1,0.1869158878504673
CWE_ID,CWE-302,CWE-302,1,0.1869158878504673
CWE_ID,CWE-552,CWE-552,1,0.1869158878504673
CWE_ID,CWE-1240,CWE-1240,1,0.1869158878504673
CWE_ID,CWE-649,CWE-649,1,0.1869158878504673
CWE_ID,CWE-497,CWE-497,1,0.1869158878504673
CWE_ID,CWE-1391,CWE-1391,1,0.1869158878504673
CWE_ID,CWE-259,CWE-259,1,0.1869158878504673
CWE_ID,CWE-255,CWE-255,1,0.1869158878504673
CWE_ID,CWE-19,CWE-19,1,0.1869158878504673
CWE_ID,CWE-1326,CWE-1326,1,0.1869158878504673
CWE_ID,CWE-114,CWE-114,1,0.1869158878504673
CWE_ID,CWE-703,CWE-703,1,0.1869158878504673
CWE_ID,CWE-1394,CWE-1394,1,0.1869158878504673
CWE_ID,CWE-424,CWE-424,1,0.1869158878504673
CWE_ID,CWE-416,Use After Free,1,0.1869158878504673
CWE_ID,CWE-277,CWE-277,1,0.1869158878504673
CWE_ID,CWE-613,CWE-613,1,0.1869158878504673
CWE_ID,CWE-425,CWE-425,1,0.1869158878504673
CWE_ID,CWE-770,CWE-770,1,0.1869158878504673
CWE_ID,CWE-489,CWE-489,1,0.1869158878504673
CWE_ID,CWE-190,CWE-190,1,0.1869158878504673
CWE_ID,CWE-379,CWE-379,1,0.1869158878504673
CWE_ID,CWE-472,CWE-472,1,0.1869158878504673
CWE_ID,CWE-95,CWE-95,1,0.1869158878504673
CWE_ID,CWE-459,CWE-459,1,0.1869158878504673
CWE_ID,CWE-305,CWE-305,1,0.1869158878504673
CWE_ID,CWE-348,CWE-348,1,0.1869158878504673
CWE_ID,CWE-1299,CWE-1299,1,0.1869158878504673
CWE_ID,CWE-88,CWE-88,1,0.1869158878504673
CWE_ID,CWE-636,CWE-636,1,0.1869158878504673
CWE_ID,CWE-310,CWE-310,1,0.1869158878504673
CWE_ID,CWE-754,CWE-754,1,0.1869158878504673
CWE_ID,CWE-331,CWE-331,1,0.1869158878504673
CWE_ID,CWE-16,CWE-16,1,0.1869158878504673
CWE_ID,CWE-130,CWE-130,1,0.1869158878504673
CWE_ID,CWE-523,CWE-523,1,0.1869158878504673
CWE_ID,CWE-400,Uncontrolled Resource Consumption,1,0.1869158878504673
CWE_ID,CWE-913,CWE-913,1,0.1869158878504673
LOCATION,cna only,CWE found in cna only,379,75.04950495049505
LOCATION,adp only,CWE found in adp only,125,24.752475247524753
LOCATION,Both,CWE found in Both,1,0.19801980198019803
